停水原因,停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
台中市東區旱溪街(旱溪西路一段至東光園路附近一帶)汰換管線工程施工停水。【4S106_01238】,【停水區域一】台中市東區旱溪里;東區自由路四段以南、旱溪西路一段以西、東光路以東、旱溪街以北等一帶(東區：旱溪里),2017-10-02 08:30至2017-10-31 18:30(自民國106年10月02日至106年10月31日，每日08時30分至18時30分，每日18時30分起恢復正常供水。〔僅每日施工路段(約100公尺)週邊用戶停水(影響戶數約數十戶不等〕遇雨順延。),2017-10-31 18:30以後,04-22442469,2017/9/30~2017/11/1,401台中市東區       
彰化-彰化縣伸港鄉自強路等汰換管線工程【BS106_00064】,【停水區域一】彰化縣伸港鄉自強路、中正路、成功路、光明路、東洲路、復興路、東洲路、中山路142巷、泉州路(施工期間每日短暫局部停水),2017-10-02 10:00至2017-10-20 18:00(每日上午8點至下午6點),2017-10-20 18:00以後,04-7353883,2017/10/2~2017/10/21,509彰化縣伸港鄉     
北屯區庄美街226號辦理用戶新裝停水【41106_00024】,【停水區域一】台中市北屯區后庄七街、庄美街、后庄北路等包含附近各巷弄(后庄里),2017-10-12 08:30至2017-10-12 16:00,2017-10-12 16:00以後,22210169,2017/10/2~2017/10/13,406台中市北屯區     
池上系統-慶豐村汰換管線之斷管連絡工程【AB106_00031】,【停水區域一】台東縣池上鄉慶豐村,2017-10-11 08:30至2017-10-13 17:30(每日上午8點30分點至下午5點30分),2017-10-13 17:30以後,池上所:089-862625、工地負責人:0985-612503徐征源、 監工:0921-931413劉奕妘,2017/10/3~2017/10/14,958台東縣池上鄉     
10/18「楊湖加壓站設備整修工程」公告停水【20106_00021】,【停水區域一】桃園市楊梅區頭湖里、三湖里、上湖里及瑞原里部份地區(民安路一帶)、員本里部份地區(民安路一帶)、水美里部份地區(楊湖路一段)等。,2017-10-18 08:00至2017-10-18 17:00,2017-10-18 17:00以後,免付費服務電話：1910   楊梅服務所:03-4789261,2017/10/3~2017/10/19,326桃園市楊梅區     
10/18「食水坑加壓站設備整修工程」公告停水【20106_00022】,【停水區域一】桃園市楊梅區瑞坪里、三民里、金溪里及梅溪里部份地區(三民東路一帶)等。,2017-10-18 08:00至2017-10-18 12:00,2017-10-18 12:00以後,免付費服務電話：1910   楊梅服務所:03-4789261,2017/10/3~2017/10/19,326桃園市楊梅區     
嘉縣水上鄉中庄村汰換管線工程【50106_00082】,【停水區域一】嘉義縣水上鄉中庄村1-1號至71-124號、中義路823至869號,2017-10-07 08:00至2017-10-07 18:00(:每日上午8點至下午6點),2017-10-07 18:00以後,0972503183監造、現場人員0981011203,2017/10/3~2017/10/8,608嘉義縣水上鄉     
嘉縣水上鄉中庄村汰換管線工程【50106_00083】,【停水區域一】嘉義縣水上鄉中庄村4號至4-29號、100號至413號,2017-10-07 08:00至2017-10-07 18:00(:每日上午8點至下午6點),2017-10-07 18:00以後,0972503183監造、現場人員0981011203,2017/10/3~2017/10/8,608嘉義縣水上鄉     
配合嘉166線，月眉村往溪北村排水道改善施工停水。【5N106_00044】,【停水區域一】嘉義縣新港鄉嘉166線月眉村往溪北村,2017-10-07 09:00至2017-10-07 17:00,2017-10-07 17:00以後,053742044,2017/10/5~2017/10/8,616嘉義縣新港鄉     
溪湖-彰化縣秀水鄉民意街等汰換管線工程施工【BM106_00078】,【停水區域一】彰化縣秀水鄉鶴鳴村;安東村;福安村,2017-09-28 08:00至2017-10-07 18:00(每日上午8點至下午6點),2017-10-07 18:00以後,04-8851778,2017/10/5~2017/10/8,504彰化縣秀水鄉     
溪湖-彰化縣秀水鄉民意街等汰換管線工程施工【BM106_00080】,【停水區域一】彰化縣秀水鄉鶴鳴村;福安村;安東村,2017-10-09 08:00至2017-10-21 18:00(每日上午8點至下午6點),2017-10-21 18:00以後,04-8851778,2017/10/5~2017/10/22,504彰化縣秀水鄉     
停水通告及新聞稿：南區工程處「馬公增建4000噸海淡廠送水管工程(一)」需辦理停水，共計900戶【70106_00027】,【停水區域一】澎湖縣馬公市風櫃里、案山里、前寮里、菜園里、石泉里,2017-10-18 08:00至2017-10-18 18:00(上午8時至下午6時),2017-10-18 18:00以後,1910,2017/10/5~2017/10/19,880澎湖縣馬公市     
本處為配合臺南市政府水利局之「臺南市永康區中華二路CF幹線雨水下水道工程」需辦理管線改遷【60106_00078】,【停水區域一】台南市永康區安康里（中山南路以南包含新興街、康福新村）、六合里、勝利里、五王里、三合里、中興里、成功里、中華里,2017-10-20 09:00至2017-10-21 08:00,2017-10-21 08:00以後,1910、2325714,2017/10/5~2017/10/22,710台南市永康區     
二林-彰化縣芳苑鄉草湖功湖路二溪路等汰換管線工程【BH106_00047】,【停水區域一】彰化縣芳苑鄉草湖村;建平村;新生村,2017-10-06 08:00至2017-10-31 18:00(每日上午8點至下午6點),2017-10-31 18:00以後,048960240,2017/10/5~2017/11/1,528彰化縣芳苑鄉     
彰化-彰化市光復路等汰換管線工程【BS106_00060】,【停水區域一】彰化縣彰化市自強路93號至185號及自強路95.109.133.171.173巷(單號),2017-10-05 08:30至2017-10-13 17:30(每日上午8點30分至下午5點30分),2017-10-13 17:30以後,04-7353883,2017/10/5~2017/10/14,500彰化縣彰化市     
嘉義縣大林鎮中林里中林路汰換管線工程(RB06050103)【5Y106_00155】,【停水區域一】嘉義縣大林鎮中林里中林路87號至160號,2017-10-05 08:00至2017-10-07 18:00(每日上午8點至下午6點),2017-10-07 18:00以後,05-2262806,2017/10/5~2017/10/8,622嘉義縣大林鎮     
嘉義縣大林鎮中林里中林路汰換管線工程(RB06050103)【5Y106_00158】,【停水區域一】嘉義縣大林鎮中林里中林路87號至160號,2017-10-11 08:00至2017-10-14 18:00(每日上午8點至下午6點),2017-10-14 18:00以後,05-2262806,2017/10/5~2017/10/15,622嘉義縣大林鎮     
「106年度台中廠0401-01-05等分區計量管網建置工程」小區管網範圍確認及管線調查停水測試(非整日停水，僅每日測試時段08:30~17:00、23:30~05:00每次短暫停水時間約30分鐘)【4S106_01251】,【停水區域一】台中市西屯區台灣大道三段、青海路二段、黎明路三段、至善路、上安路、逢甲路、光明路等附近一帶巷弄。(至善里、西墩里),2017-10-11 08:30至2017-10-13 17:00,2017-10-13 17:00以後,04-22442469.....1910,2017/10/5~2017/10/14,407台中市西屯區     
雲縣土庫鎮市區道路汰換管線工程管線施工【5M106_00101】,【停水區域一】雲林縣土庫鎮新建路;復興路;馬光路一段;中正路;文化路;三義路;光復路,2017-10-09 08:00至2017-10-15 18:00(每日上午8點至下午6點),2017-10-15 18:00以後,05-6322047,2017/10/6~2017/10/16,633雲林縣土庫鎮     
配合土城區延平及延壽路管線汰換工程【CH106_00106】,【停水區域一】新北市土城區平和里;安和里;延平街口77號旁及周邊巷弄;延和路89號至121號及周邊巷弄;平和里;延和里,2017-10-06 08:00至2017-10-31 19:00(當日上午8點至下午7點),2017-10-31 19:00以後,02-22655672,2017/10/6~2017/11/1,236新北市土城區     
改善區域供水品質.進行管線汰換【BS106_00061】,【停水區域一】彰化縣和美鎮糖友里;彰新路2段、3段.糖東一、二街等,2017-10-06 08:00至2017-10-07 19:00(每日上午8點至下午7點),2017-10-07 19:00以後,04-7353883,2017/10/6~2017/10/8,508彰化縣和美鎮     
雲縣麥寮鄉中山路汰換管線工程RB06051911新舊管連絡【5G106_00077】,【停水區域一】雲林縣麥寮鄉麥津村;麥豐村;;,2017-10-11 08:00至2017-10-13 18:00(每日上午8時00分至下午18時00分),2017-10-13 18:00以後,05-6982250,2017/10/6~2017/10/14,638雲林縣麥寮鄉     
辦理「東區大同路一段(樹林街-林森路)汰換管線工程」停水施工(遇雨順延)【60106_00079】,【停水區域一】台南市東區1.東區大同路一段175巷(雙側含弄)
2.東區大同路一段197巷(雙側含弄)
3.東區大同路一段241巷(雙側含弄)
4.東區大同路一段243號~327號(單號側含巷弄)
5.東區大同路一段329巷(雙側含弄)
6.東區林森路一段1號~91號(單號側含巷弄),2017-10-11 08:00至2017-10-11 18:00(上午8點至下午6點),2017-10-11 18:00以後,1910,2017/10/6~2017/10/12,701台南市東區       
辨理105年度新裝單價採購工程【6A106_00129】,【停水區域一】台南市新營區南紙街29巷6弄(全部),2017-10-11 09:00至2017-10-11 15:00(每日上午9點至下午15點),2017-10-11 15:00以後,06-6322191-30,2017/10/6~2017/10/12,730台南市新營區     
辦理105年度新裝單價採購工程【6A106_00130】,【停水區域一】台南市新營區民生路金華路至長榮路口(含巷弄),2017-10-11 13:00至2017-10-11 18:00(每日下午13點至下午18點),2017-10-11 18:00以後,06-6322191-30,2017/10/6~2017/10/12,730台南市新營區     
和美鎮西園路管線汰換工程【BS106_00065】,【停水區域一】彰化縣和美鎮和線路15巷、西園路1至106號、西園路72巷、96巷等,2017-10-07 08:00至2017-10-13 18:00(每日上午8點至下午6點),2017-10-13 18:00以後,04-7353883,2017/10/6~2017/10/14,508彰化縣和美鎮     
配合高雄市政府林園仁愛路拓寬辦理高市林園仁愛路管線汰換新舊管線連接施工停水【7T106_00483】,【停水區域一】高雄市林園區高市林園東林西路(文賢北路~林園北路)及林園仁愛路(東林西路~信義路)及林園仁愛路(信義路~王公路)及林園信義路(王公路~仁愛路)及林園文化街一帶等水壓降低或無水,2017-09-26 08:00至2017-10-15 18:00(每日上午8點至下午6點),2017-10-15 18:00以後,07-7883714,2017/10/6~2017/10/16,832高雄市林園區     
雲縣口湖鄉東安路汰換管線工程(RB-06-0519-16)新舊管連絡【5G106_00078】,【停水區域一】雲林縣口湖鄉下崙村;崙中村;崙東村;中山路;中和路;中興路二段;文化路;民生路;福安路;漁港路;東安路;明仁路,2017-10-11 08:00至2017-10-13 18:00(每日上午8點至下午6點),2017-10-13 18:00以後,05-6982250,2017/10/6~2017/10/14,653雲林縣口湖鄉     
105年池上所減持壓閥壓力流量監控站改善工程(第一階段)【A0106_00014】,【停水區域一】台東縣池上鄉永安村中華路三段、永嶺、永德路等巷道及武陵村全村等區域,2017-10-11 08:00至2017-10-12 18:00(每日上午8點至下午6點),2017-10-12 18:00以後,承包商電話:0981-933361(鄭志國)    監造人員電話:0932-559811(謝仲科),2017/10/6~2017/10/13,958台東縣池上鄉     
 嘉縣番路鄉嘉129線汰換管線工程【5X106_00559】,【停水區域一】嘉義縣番路鄉公興村;龍美,2017-10-12 08:00至2017-10-13 18:00,2017-10-13 18:00以後,2611075,2017/10/6~2017/10/14,602嘉義縣番路鄉     
辦理「嘉市民國路、啟明路汰換管線工程」，抽換埋設200、300公釐DIP自來水管線【50106_00084】,【停水區域一】嘉義市東區啟明路至光彩街路口(含巷弄)、民國路2號至199號、民族路2號至145號路口(含巷弄)、朝陽街5號至31號(含巷弄)、延平街1號至57號、光彩街1號至145號、中正路48至70號、公明路30至59號。,2017-10-11 08:00至2017-10-20 18:00(每日上午8時到下午6時暫停供水。(星期日正常供水管線末端用戶可能因水流時間延至下午8時供水。),2017-10-20 18:00以後,052252670#315，工地負責人：紀議財0968762202,2017/10/6~2017/10/21,600嘉義市東區       
官田區二鎮里建業路41號邊管線漏水搶修【6C106_00199】,【停水區域一】台南市官田區建業路41號附近,2017-10-09 09:00至2017-10-09 17:00(9.00-17.00),2017-10-09 17:00以後,5721165,2017/10/6~2017/10/10,720台南市官田區     
因『復興廠久旱原水量不足』影響部份區域減壓供水，敬請見諒。【2W106_00134】,【停水區域一】桃園市復興區澤仁里,2017-10-06 20:00至2017-10-11 06:00(每日晚上8點至隔日上午6點),2017-10-11 06:00以後,03-4712002,2017/10/6~2017/10/12,336桃園市復興區     
因『復興廠久旱原水量不足』影響部份用戶停水，敬請見諒。【2W106_00135】,【停水區域一】桃園市復興區三民里1~9鄰,2017-10-06 20:00至2017-10-11 06:00(每日晚上8點至隔日上午6點),2017-10-11 06:00以後,03-4712002,2017/10/6~2017/10/12,336桃園市復興區     
因『屏東縣潮州鎮崙東里新開路旁』漏水修理【7C106_00281】,【停水區域一】屏東縣潮州鎮屏東縣潮州鎮崙東里新開路附近一帶,2017-10-07 09:00至2017-10-07 17:00,2017-10-07 17:00以後,08-832-5550,2017/10/6~2017/10/8,920屏東縣潮州鎮     
嘉縣水上鄉中庄村汰換管線工程【50106_00085】,【停水區域一】嘉義縣水上鄉中庄村100號至413號、中庄村4號至4-29號,2017-10-11 08:00至2017-10-20 18:00(:每日上午8點至下午6點),2017-10-20 18:00以後,0972503183監造、現場人員0928288944,2017/10/6~2017/10/21,608嘉義縣水上鄉     
鹿港-鹿港鎮新興街管線汰換【BG106_00030】,【停水區域一】彰化縣鹿港鎮彰化縣鹿港鎮;街尾里，鹿港鎮新興街{全部}，進行管線汰換，預定施工期程為10月11日至11月3日，承商施工至該用戶門口前，預計當日下午2點至5點進行用戶外線改接，請民眾提早蓄水備用，待供水恢復後再啟動加壓設備，不便之處，多加體諒,2017-10-11 13:00至2017-11-03 17:00(每日下午1點至下午5點),2017-11-03 17:00以後,04-7772127、04-7772609,2017/10/6~2017/11/4,505彰化縣鹿港鎮     
為辦理「永康區污水PA一標配合改管工程(一)」【6H106_00190】,【停水區域一】台南市永康區八德街、龍中街、永大路三段,2017-10-07 08:00至2017-10-07 17:00,2017-10-07 17:00以後,1910  06-2325714,2017/10/6~2017/10/8,710台南市永康區     
麻豆區客子寮;因不明原因無水;目前查詢中【6C106_00200】,【區域1】台南市麻豆區客子寮附近,2017/10/06 21:30至2017/10/07 17:0 ,2017/10/07 17:0以後,,2017/10/6~2017/10/8,721台南市麻豆區     
永康區中正路127巷39號(100mm)破管搶修【6H106_00191】,【區域1】台南市永康區中正路、自強路(附近一帶),2017/10/07 8:4至2017/10/07 12:0 ,2017/10/07 12:0以後,,2017/10/7~2017/10/8,710台南市永康區     
鳳山區鳳南路183巷 80mm破管搶修【7T106_00500】,【區域1】高雄市鳳山區鳳南路、南江街、南榮路,2017/10/07 9:0至2017/10/07 18:0 ,2017/10/07 18:0以後,,2017/10/7~2017/10/8,830高雄市鳳山區     
南區永成路三段462號前 200mm破管搶修【6S106_00422】,【區域1】台南市南區永成路三段,2017/10/07 9:0至2017/10/07 12:0 ,2017/10/07 12:0以後,,2017/10/7~2017/10/8,702台南市南區       
因『新竹縣竹東鎮勝利路與榮華街 交叉口』『修漏案件/1.路面漏水：民眾反映路邊漏水，漏水量大，暫不影響交通』修理【3A106_00141】,【停水區域一】新竹縣竹東鎮北興路三段;永康街;民德路;勝利路;榮華街;榮樂街;自強路;新民路;長春路三段,2017-10-07 09:30至2017-10-07 15:00,2017-10-07 15:00以後,035-963359,2017/10/7~2017/10/8,310新竹縣竹東鎮     
因『苗栗縣公館鄉館中村近光路與榮光街口』『管漏』修理【3B106_00276】,【停水區域一】苗栗縣公館鄉館中村.館南村,2017-10-07 13:00至2017-10-07 17:00,2017-10-07 17:00以後,1910,2017/10/7~2017/10/8,363苗栗縣公館鄉     
新北市五股區工商路40號(100MM)破管搶修【C7106_00154】,【區域1】新北市五股區工商路、中興路四段(附近一帶),2017/10/07 9:33至2017/10/07 18:0 ,2017/10/07 18:0以後,,2017/10/7~2017/10/8,248新北市五股區     
苗栗市聯合大學前管線槍修【3B106_00277】,【停水區域一】苗栗縣苗栗市恭敬里.水源里,2017-10-07 10:00至2017-10-07 13:00,2017-10-07 13:00以後,1910,2017/10/7~2017/10/8,360苗栗縣苗栗市     
屏東市民生路57-13號 150mm破管搶修【7B106_00063】,【區域1】屏東縣屏東市屏東市民生路57號-69號(單號側)、民生路57巷(全)、民生路69巷(全)、民興路、民福路、菸廠路,2017/10/07 10:0至2017/10/07 14:0 ,2017/10/07 14:0以後,,2017/10/7~2017/10/8,900屏東縣屏東市     
山上區明和里北勢州58-2號(50MM)【63106_00331】,【區域1】台南市山上區明和里,2017/10/07 10:25至2017/10/07 15:0 ,2017/10/07 15:0以後,,2017/10/7~2017/10/8,743台南市山上區     
場站傳輸信號異常.故障檢修【4B106_00543】,【停水區域一】南投縣名間鄉埔中村.松柏村.炭寮村.大庄村及其巷道,2017-10-07 09:20至2017-10-07 16:20,2017-10-07 16:20以後,1910或2222635,2017/10/7~2017/10/8,551南投縣名間鄉     
因『新竹縣竹東鎮勝利路與榮華街 交叉口』『修漏案件/1.路面漏水：民眾反映路邊漏水，漏水量大，暫不影響交通』修理【3A106_00141】,【區域1】新竹縣竹東鎮北興路三段;永康街;民德路;勝利路;榮華街;榮樂街;自強路;新民路;長春路三段、五豐街、敦睦街、忠孝街、,2017/10/07 9:30至2017/10/07 15:0 ,2017/10/07 15:0以後,035-963359,2017/10/7~2017/10/8,310新竹縣竹東鎮     
因『台南市麻豆區港尾里文瑞橋邊』『管線漏水』修理【6C106_00201】,【停水區域一】台南市麻豆區港尾里文瑞橋附近,2017-10-07 13:00至2017-10-07 16:00(13.00-16.00),2017-10-07 16:00以後,5721165,2017/10/7~2017/10/8,721台南市麻豆區     
因『新竹縣竹東鎮勝利路與榮華街 交叉口』『修漏案件/1.路面漏水：民眾反映路邊漏水，漏水量大，暫不影響交通』修理【3A106_00141】,【區域1】新竹縣竹東鎮北興路三段;永康街;民德路;勝利路;榮華街;榮樂街;自強路;新民路;長春路三段、五豐街、敦睦街、忠孝街、,2017/10/07 9:30至2017/10/07 15:0 ,2017/10/07 15:0以後,035-963359,2017/10/7~2017/10/8,310新竹縣竹東鎮     
因台電不預警停電造成南鄉加壓站無法運作停水，目前積極協調處理中。【58106_00182】,【停水區域一】嘉義縣水上鄉南鄉村全部(包括中和國中),2017-10-07 09:00至2017-10-07 17:00,2017-10-07 17:00以後,05-2779117,2017/10/7~2017/10/8,608嘉義縣水上鄉     
桃園市中壢區自強四路與自強五路漏水搶修【23106_00304】,【停水區域一】桃園市中壢區中園路(二段)、南園(二)路、西園路(二段)、東園(二)路、自強四路、自強五路、內定五~二十二街、合圳北路二~三段,2017-10-07 13:00至2017-10-07 14:30,2017-10-07 14:30以後,03-4251506,2017/10/7~2017/10/8,320桃園市中壢區     
因中壢區榮民南路與龍東路口 漏水搶修【23106_00305】,【區域1】桃園市中壢區榮民南路(中山東路三段至龍東路),2017/10/07 11:49至2017/10/07 17:0 ,2017/10/07 17:0以後,,2017/10/7~2017/10/8,320桃園市中壢區     
因台電無預警停電造成南鄉加壓站無法運作停水，目前積極協調處理中。【58106_00182】,【區域1】嘉義縣水上鄉南鄉村全部(包括中和國中),2017/10/07 9:0至2017/10/07 17:0 ,2017/10/07 17:0以後,05-2779117,2017/10/7~2017/10/8,608嘉義縣水上鄉     
康寧街355號 150mm破管搶修【1D106_00032】,【區域1】新北市汐止區康寧街、福德1.2.3路、民族1.2.3.5.6街、民峰街,2017/10/07 14:0至2017/10/07 17:0 ,2017/10/07 17:0以後,,2017/10/7~2017/10/8,221新北市汐止區     
嘉義市西區重慶一街與重慶六街口 100mm破管搶修【58106_00183】,【區域1】嘉義市西區重慶一街、重慶六街,2017/10/07 13:6至2017/10/07 17:0 ,2017/10/07 17:0以後,,2017/10/7~2017/10/8,600嘉義市西區       
因『宜蘭縣羅東鎮仁愛里復興路三段１３５巷３６弄４８號』『修漏案件/用戶外線漏水』修理【8S106_00423】,【停水區域一】宜蘭縣羅東鎮復興路三段,2017-10-07 13:30至2017-10-07 15:30,2017-10-07 15:30以後,0937849881,2017/10/7~2017/10/8,265宜蘭縣羅東鎮     
因『台中市大里區華城街55巷19號』『修漏案件/1.路面漏水：路中漏水要測漏』修理【4S106_01256】,【停水區域一】台中市大里區台中市大里區華城街55巷19號、停水範圍/立德里及立仁里、華城街55巷19號、巷內一帶停水。,2017-10-07 14:00至2017-10-07 17:00,2017-10-07 17:00以後,1910    22442469,2017/10/7~2017/10/8,412台中市大里區     
因『台中市大里區華城街55巷19號』『修漏案件/1.路面漏水：路中漏水要測漏』修理【4S106_01257】,【停水區域一】台中市大里區台中市大里區華城街55巷19號、停水範圍/立德里及立仁里、華城街55巷19號、巷內一帶停水。,2017-10-07 14:00至2017-10-07 17:00,2017-10-07 17:00以後,1910    22442469,2017/10/7~2017/10/8,412台中市大里區     
因『台中市大里區華城街55巷19號』『修漏案件/1.路面漏水：路中漏水要測漏』修理【4S106_01258】,【停水區域一】台中市大里區台中市大里區華城街55巷19號、停水範圍/立德里及立仁里、華城街55巷19號、巷內一帶停水。,2017-10-07 14:00至2017-10-07 17:00,2017-10-07 17:00以後,1910    22442469,2017/10/7~2017/10/8,412台中市大里區     
桃園市中壢區自強四路與自強五路漏水搶修【23106_00306】,【區域1】桃園市中壢區自強四路、自強五路,2017/10/07 13:0至2017/10/07 16:0 ,2017/10/07 16:0以後,,2017/10/7~2017/10/8,320桃園市中壢區     
台南市南區永成路3段一帶因不明原因停水已派員查察中以下停水時間係屬概估敬祈見諒【6S106_00423】,【停水區域一】台南市南區永成路3段.大成路2段.新都路,2017-10-07 15:00至2017-10-07 20:00,2017-10-07 20:00以後,063036097,2017/10/7~2017/10/8,702台南市南區       
因『台中市北屯區旅順路二段206號』『地下漏水』修理【4S106_01259】,【停水區域一】台中市北屯區平順里.平福里.平心里等一帶,2017-10-07 15:00至2017-10-07 22:00,2017-10-07 22:00以後,22442469    1910,2017/10/7~2017/10/8,406台中市北屯區     
新化區礁坑里蔡厝仔53號50mm破管搶修【63106_00332】,【區域1】台南市新化區礁坑里,2017/10/07 15:30至2017/10/07 18:0 ,2017/10/07 18:0以後,,2017/10/7~2017/10/8,712台南市新化區     
台中市大肚區大明三街與大德二街交叉路口管線搶修【4P106_00209】,【停水區域一】台中市大肚區大明一街;大明二街;大明三街;大明五街;大明四街;大德一街;大德七街;大德二街;大德三街;大德五街;大德六街;大德四街;萬興路;沙田路三段245巷,2017-10-07 12:52至2017-10-07 19:00,2017-10-07 19:00以後,04-26312127,2017/10/7~2017/10/8,432台中市大肚區     
花蓮縣吉安鄉南海四街與南濱路口 100mm破管搶修【9S106_00262】,【區域1】花蓮縣吉安鄉南海四街(海安路以東方向),2017/10/07 17:13至2017/10/07 23:0 ,2017/10/07 23:0以後,,2017/10/7~2017/10/8,973花蓮縣吉安鄉     
東勢區新盛里新盛街345號破管搶修【4G106_00229】,【區域1】台中市東勢區新盛里,2017/10/07 18:0至2017/10/07 20:0 ,2017/10/07 20:0以後,,2017/10/7~2017/10/8,423台中市東勢區     
龍潭廠百吉加壓站水量不足，影響部分用戶停水【2W106_00136】,【區域1】桃園市復興區新峰里,2017/10/07 21:0至2017/10/08 10:0 ,2017/10/08 10:0以後,,2017/10/7~2017/10/9,336桃園市復興區     
因『台南市仁德區中正路二段39號』【65106_00152】,【停水區域一】台南市仁德區中正路二段1號~160號{全部含-巷、弄},2017-10-08 07:00至2017-10-08 15:00,2017-10-08 15:00以後,06-2303756,2017/10/8~2017/10/9,717台南市仁德區     
聯美路路中漏水搶修【5F106_00054】,【停水區域一】雲林縣大埤鄉聯美村;聯美路;頂田尾,2017-10-08 09:00至2017-10-08 18:00,2017-10-08 18:00以後,05-5972682,2017/10/8~2017/10/9,631雲林縣大埤鄉     
因『台中市南屯區工業區二十三路5號』『管線漏水』修理【4S106_01260】,【停水區域一】台中市南屯區工業區二十三路,2017-10-08 09:10至2017-10-08 11:00,2017-10-08 11:00以後,1910   22442469,2017/10/8~2017/10/9,408台中市南屯區     
斗六市成功路120號前100MM破管搶修【5H106_00275】,【區域1】雲林縣斗六市太平里;仁愛里,2017/10/08 9:14至2017/10/08 12:0 ,2017/10/08 12:0以後,,2017/10/8~2017/10/9,640雲林縣斗六市     
因『宜蘭縣南澳鄉蘇花路台九線131.7』『修漏案件/路面漏水：』修理【8S106_00424】,【停水區域一】宜蘭縣南澳鄉武塔村,2017-10-08 10:00至2017-10-08 13:00,2017-10-08 13:00以後,0937849881,2017/10/8~2017/10/9,272宜蘭縣南澳鄉     
