停水原因,停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
宜蘭市黎明里黎明二路276巷41號供水延管工程【8A106_00092】,【停水區域一】宜蘭縣宜蘭市黎明一路、黎明路、壯五路等，約103戶。,2017-09-25 13:00至2017-09-25 17:00,2017-09-25 17:00以後,039-233-255#50,2017/9/21~2017/9/26,260宜蘭縣宜蘭市     
新莊區-分區計量管網委外建置(1201-02-04-04、1201-02-02-05)小區封閉確認【C3106_00115】,【停水區域一】新北市新莊區1201-02-02-05-昌平街2~88號(雙號側含巷弄)、昌明街2~80號(雙號側含巷弄)、昌平街82巷、昌明街14、30、46巷、福壽街169巷
1201-02-04-04-幸福路607~765號(單號側含巷弄)、中和街110~158號(雙號側含巷弄)、中誠街(單雙號全含巷弄)、中港路290~390號(雙號側含巷弄)、中港路297~471號(單號側含巷弄)、中華路二段1~87號(單號側含巷弄),2017-09-27 09:00至2017-09-27 16:00(每日上午9點至下午4點),2017-09-27 16:00以後,1910,2017/9/21~2017/9/28,242新北市新莊區     
新莊區-分區計量管網委外建置(1201-02-04-02、1201-02-02-06)小區封閉確認【C3106_00116】,【停水區域一】新北市新莊區1201-02-04-02-幸福路763~829號(單號側含巷弄)、中和街1~131號(單號側含巷弄)、中和街2~158號(雙號側含巷弄)、復興路一段1~91號(單號側含巷弄)、中平路10~200號(雙號側含巷弄)、泰安街(全)、泰順街(全)、永安街(全)、永樂街(全)、中港一街143~161號(單號側含巷弄)
1201-02-02-06-中華路二段158號~316號(雙號側含巷弄)、昌隆街5~31號(單號側含巷弄)、昌平街1~79號(單號側含巷弄)、中原路51~189號(單號側含巷弄),2017-09-28 09:00至2017-09-28 16:00(每日上午9點至下午4點),2017-09-28 16:00以後,1910,2017/9/21~2017/9/29,242新北市新莊區     
9/29「平鎮區中豐路南勢二段管線工程」公告停水【20106_00017】,【停水區域一】桃園市平鎮區平鎮里、鎮興里、平安里、金星里、平南里、南勢里。﹙中豐路南勢一、二段、南平路、南東路、南京路、中庸路、新光路、上海路﹚,2017-09-29 22:00至2017-09-30 12:00,2017-09-30 12:00以後,免付費服務電話：1910   楊梅服務所:03-4789261,2017/9/21~2017/10/1,324桃園市平鎮區     
新莊區思源路32號至思源路復興路口管線汰換工程【C3106_00114】,【停水區域一】新北市新莊區思源路38號-56號,2017-09-24 09:00至2017-09-25 18:00(每日上午9點至下午6點),2017-09-25 18:00以後,1910,2017/9/21~2017/9/26,242新北市新莊區     
新北市樹林區八德街826號對面辦理新用戶改裝工程施工【C5106_00101】,【停水區域一】新北市樹林區八德街832至1022號,2017-09-24 09:00至2017-09-24 17:00(每日上午9點至下午5點，遇雨天順延。),2017-09-24 17:00以後,02-26812254,2017/9/22~2017/9/25,238新北市樹林區     
目前因本日新竹市地區原水量不足，造成新竹地區水壓降低甚至停水實非得已，不便之處，並請於離峰用水時間，蓄水備用敬請見諒。【32106_00039】,【停水區域一】新竹市北區林森路、育英路、光華二街、光華一街、光華街、光華街、光華東街、光華北街、竹光路、水田街、和平路、湳雅街經、經國路1、2、3段、中山路、華北路、育德街、西門街、西安街、民生路、民權路、民主路、民族路、鐵道路二段、北大路，仁愛街。;新竹市東區東南街;東前路，東進路，東勢街;東園街;東勝路;林森路;博愛街;體育街;新源街，食品路，南大路，竹蓮街，振興路;柴橋路;新竹市香山區中華路三段;中華路四段;牛埔南路;牛埔東路;牛埔北路;牛埔路;,2017-09-21 08:00至2017-09-25 21:00,2017-09-25 21:00以後,     03-5712141  1910,2017/9/22~2017/9/26,300新竹市北區       300新竹市東區       300新竹市香山區     
高市小港區平和六路等汰換管線工程【7I106_00124】,【停水區域一】高雄市小港區平和路、平和六路、平和七路、鋼平街等(含巷弄),2017-09-25 09:00至2017-09-30 17:00(每日上午9時至下午5時),2017-09-30 17:00以後,0921209171,2017/9/22~2017/10/1,812高雄市小港區     
北斗-106年度田尾、埤頭分區計量管網計畫DB-06-1103-02【BB106_00073】,【停水區域一】彰化縣北斗鎮大道里;中山路一段;斗苑路一段;斗苑路二段;彰化縣田尾鄉饒平村;中山路一段;中山路二段;建平路,2017-09-23 08:30至2017-09-25 18:00(每日上午8點至下午6點),2017-09-25 18:00以後,04-8882073    0937778383    0912975533,2017/9/22~2017/9/26,521彰化縣北斗鎮     522彰化縣田尾鄉     
北斗-106年度田尾、埤頭分區計量管網計畫DB-06-1103-02【BB106_00074】,【停水區域一】彰化縣北斗鎮大道里;中山路一段;中山路二段;斗苑路一段;斗苑路二段,2017-09-23 08:00至2017-09-25 18:00(每日上午8點至下午6點),2017-09-25 18:00以後,04-8882073    0937778383    0912975533,2017/9/22~2017/9/26,521彰化縣北斗鎮     
「106年豐原廠豐原西區小區管網建置工程」小區管網範圍確認及管線調查停水測試(非整日停水，僅每日測試時段08:30~17:00每次短暫停水時間約30分鐘)【4M106_00254】,【停水區域一】台中市豐原區豐原大道一段、中山路、成功路、大明路、三村路、西勢路、三和路、同心街、互助街、合作街、大光街、中正路、成功路、一心路、社興路、社皮路、西勢一街、西勢二街、西勢三街、西勢四街、西勢五街、西勢六街、社興一街、社興二街、社興三街、社興四街、社興五街、豐原大道八段、豐洲路、五權路、圓環西路、建成路、福德路、豐社路、圳寮路、豐西街、瑞安街、榮春街,2017-09-25 08:30至2017-09-30 17:00(非整日停水，僅每日測試時段08:30~17:00每次短暫停水時間約30分鐘),2017-09-30 17:00以後,04-25722643豐原給水廠,2017/9/22~2017/10/1,420台中市豐原區     
管線漏水修理【6H106_00174】,【停水區域一】台南市永康區永科環路及鄰近路段,2017-09-23 08:00至2017-09-24 17:00(每日上午8點至下午5點),2017-09-24 17:00以後,1910   06-2325714,2017/9/22~2017/9/25,710台南市永康區     
管線漏水修理【6H106_00175】,【停水區域一】台南市永康區永科三路及鄰近路段,2017-09-23 08:00至2017-09-24 17:00(每日上午8點至下午5點),2017-09-24 17:00以後,1910  06-2325714,2017/9/22~2017/9/25,710台南市永康區     
「106年度台中廠0401-01-05等分區計量管網建置工程」小區管網範圍確認及管線調查停水測試(非整日停水，僅每日測試時段08:30~17:00、23:30~05:00每次短暫停水時間約30分鐘)【4S106_01199】,【停水區域一】台中市西屯區甘肅路二段、櫻花路、櫻城一街、美滿街、大河一巷、美滿東一巷、美滿東二巷、美滿東三巷、長安路一段、文心路三段、惠來路三段、櫻城五街、櫻城六街、西屯路二段、青海路二段、逢甲路、光明路、逢明街、烈美街、西安南巷、黎明路三段、西屯路三段、青海路二段、西墩南一巷、逢甲路、至善路、福星路、河南路二段、文華路、崇義街、福上巷、中新巷、永新巷、上石北五巷、台灣大道三段、上安路等附近一帶巷弄。(大河里、何仁里、逢福里、西安里、西墩里、西平里、至善里、逢甲里),2017-09-25 08:30至2017-09-30 17:00,2017-09-30 17:00以後,04-22442469.....1910,2017/9/22~2017/10/1,407台中市西屯區     
嘉市建成街58巷道路闢建管線工程【51106_00087】,【停水區域一】嘉義市西區垂楊里建成街36巷、58巷及新民路848巷等住戶。,2017-09-26 08:00至2017-09-28 18:00(每日上午8點至下午6點),2017-09-28 18:00以後,05-2252670,2017/9/22~2017/9/29,600嘉義市西區       
屏東市勝利路(忠孝路至和平路)汰換管線工程施工【7B106_00050】,【停水區域一】屏東縣屏東市勝利路(徐州路至和平路一帶)、和平路(青島街至迪化街一帶)、和平路482巷、蘭州街(靠和平路雙號),2017-09-22 08:00至2017-09-25 17:00(每日上午8點至下午5點),2017-09-25 17:00以後,08-7226170、7220040,2017/9/22~2017/9/26,900屏東縣屏東市     
配合新北市政府水利局汙水下水道工程施作自來水管線遷移【CH106_00133】,【停水區域一】新北市土城區中央路4段96號-256號,2017-09-25 09:00至2017-09-27 18:00(上午9點至下午6點),2017-09-27 18:00以後,0222655172,2017/9/22~2017/9/28,236新北市土城區     
配合新北市政府水利局汙水下水道工程施作自來水管線遷移【CH106_00135】,【停水區域一】新北市土城區中央路4段262-316雙號、中洲路3巷31-43號單號及42-52號巷弄雙號,2017-09-28 09:00至2017-09-29 18:00(上午9點至下午6點),2017-09-29 18:00以後,0222655172,2017/9/22~2017/9/30,236新北市土城區     
新北市樹林區東佳路7號辦理用戶新改裝工程施工【C5106_00102】,【停水區域一】新北市樹林區東和街、福德街全部(以上含巷弄),2017-09-25 09:00至2017-09-25 17:00(每日上午9點至下午5點 ，遇雨天順延，請將車輛或物品提前淨空，避免延誤工程延長停水時間。),2017-09-25 17:00以後,(02026812254,2017/9/22~2017/9/26,238新北市樹林區     
執行西螺所106年分區計量管網工程【5J106_00094】,【停水區域一】雲林縣崙背鄉南陽村、羅厝村、港尾村、土庫鎮新庄里,2017-09-20 08:00至2017-09-26 18:00(每日上午8點至下午6點),2017-09-26 18:00以後,05-5862163,2017/9/23~2017/9/27,637雲林縣崙背鄉     
因巴拉卡與老梅溪原水乾枯導致水壓降低【1B106_00068】,【停水區域一】新北市三芝區義山里;櫻花山莊;新北市淡水區義山里;櫻花山莊;淡金路三段一帶,2017-09-23 17:00至2017-09-24 08:00,2017-09-24 08:00以後,02-2621-3170,2017/9/23~2017/9/25,252新北市三芝區     251新北市淡水區     
梅林加壓站馬達異常【5H106_00266】,【區域1】雲林縣斗六市梅林里;湖山里;雲林縣古坑鄉棋盤村,2017/09/23 19:20至2017/09/24 0:0 ,2017/09/24 0:0以後,,2017/9/23~2017/9/25,640雲林縣斗六市     646雲林縣古坑鄉     
因『台南市南化區西埔里西埔55號附近』『修漏案件/1.路面漏水：民眾通報路面漏水，不影響交通，水量大，請協助。』修理【6B106_00146】,【停水區域一】台南市南化區西埔,2017-09-24 07:30至2017-09-24 12:30,2017-09-24 12:30以後,06-5742323,2017/9/24~2017/9/25,716台南市南化區     
因『台南市南化區南化里29-11號前』『(1.9)路邊漏水，請速修。』修理【6B106_00147】,【停水區域一】台南市南化區南化,2017-09-24 13:00至2017-09-24 17:00,2017-09-24 17:00以後,06-5742323,2017/9/24~2017/9/25,716台南市南化區     
新竹縣竹北市中華路405巷11弄11號150MM管線漏水搶修【3H106_00095】,【區域1】新竹縣竹北市華興街、中華路405巷(含11弄),2017/09/24 9:10至2017/09/24 11:30 ,2017/09/24 11:30以後,,2017/9/24~2017/9/25,302新竹縣竹北市     
因『宜蘭縣蘇澳鎮中原路92巷11號』『修漏案件/路面漏水：漏水量大』修理【8S106_00410】,【停水區域一】宜蘭縣蘇澳鎮中原路92巷76巷,2017-09-24 09:20至2017-09-24 11:20,2017-09-24 11:20以後,0937849881,2017/9/24~2017/9/25,270宜蘭縣蘇澳鎮     
南投市彰南路三段532巷內80MM破管搶修【4B106_90517】,【區域1】南投縣南投市彰南路三段532巷,2017/09/24 10:30至2017/09/24 13:30 ,2017/09/24 13:30以後,,2017/9/24~2017/9/25,540南投縣南投市     
加壓站跳機，導致停水【C5106_00103】,【區域1】新北市樹林區大慶街(全部),2017/09/24 9:0至2017/09/24 13:0 ,2017/09/24 13:0以後,,2017/9/24~2017/9/25,238新北市樹林區     
因『台中市南區合作街靠近愛國139號』『修漏案件/1.路面漏水：1999陳小姐代林先生反應，目前該址(文創園區側門處)的路邊有漏水且地面已經有隆起的狀況，水量偏大會影響交通，煩請相關單位協助用戶處理，謝謝。市府案編B57791』修理【4S106_01204】,【停水區域一】台中市南區合作街.愛國街等與附近一帶,2017-09-24 11:00至2017-09-24 15:00,2017-09-24 15:00以後,1910,2017/9/24~2017/9/25,402台中市南區       
因『台中市南區合作街靠近愛國139號』『修漏案件/1.路面漏水：1999陳小姐代林先生反應，目前該址(文創園區側門處)的路邊有漏水且地面已經有隆起的狀況，水量偏大會影響交通，煩請相關單位協助用戶處理，謝謝。市府案編B57791』修理【4S106_01205】,【停水區域一】台中市南區合作街.愛國街等與附近一帶,2017-09-24 11:00至2017-09-24 15:00,2017-09-24 15:00以後,1910,2017/9/24~2017/9/25,402台中市南區       
因『宜蘭縣蘇澳鎮自強路1號對面』『修漏案件/路面漏水』修理【8S106_00411】,【停水區域一】宜蘭縣蘇澳鎮自強路,2017-09-24 11:20至2017-09-24 13:20,2017-09-24 13:20以後,0937849881,2017/9/24~2017/9/25,270宜蘭縣蘇澳鎮     
開安1街8巷漏水搶修【6S106_00386】,【停水區域一】台南市安南區永安路，開安路，開安1.2.3.4.5.6.7街,2017-09-25 09:00至2017-09-25 16:00,2017-09-25 16:00以後,06-3036097,2017/9/24~2017/9/26,709台南市安南區     
台西鄉106年消防栓增設工程(WR-06-0519-68)【5G106_00061】,【停水區域一】雲林縣台西鄉和豐村;復興,2017-09-26 08:00至2017-09-26 17:00(每日上午8點至下午5點),2017-09-26 17:00以後,05-6982250,2017/9/24~2017/9/27,636雲林縣台西鄉     
辦理龜山區復興街等汰換管線工程文化三路新舊管聯絡【25106_00101】,【停水區域一】桃園市龜山區文化三路(龜山一路至復興一路)含周邊巷弄、文三一街、文三二街、文三三街、文二一街、復興街等,2017-09-24 11:00至2017-09-24 18:00,2017-09-24 18:00以後,033294999*305,2017/9/24~2017/9/25,333桃園市龜山區     
沙鹿區六路里南陽路、六路八街至六路十八街等路段地區因可能管線破漏造成水壓低【4P106_00190】,【停水區域一】台中市沙鹿區六路里南陽路、六路八街至六路十八街等路段地區及附近巷弄,2017-09-24 12:08至2017-09-24 23:00,2017-09-24 23:00以後,04-26312127 (0910587305),2017/9/24~2017/9/25,433台中市沙鹿區     
辦理龜山區復興街等汰換管線工程文化三路新舊管聯絡【25106_00104】,【停水區域一】桃園市龜山區文化三路(龜山一路至復興一路)含周邊巷弄、文三一街、文三二街、文三三街、文二一街、復興街等,2017-09-25 11:00至2017-09-25 17:00,2017-09-25 17:00以後,033294999*305,2017/9/24~2017/9/26,333桃園市龜山區     
六龜區新威淨水廠原水不足【7K106_00061】,【區域1】高雄市六龜區新興里、新威里,2017/09/24 19:30至2017/09/25 10:0 ,2017/09/25 10:0以後,,2017/9/24~2017/9/26,844高雄市六龜區     
六龜區新威淨水廠原水不足【7K106_00061】,【區域1】高雄市六龜區新興里、新威里,2017/09/24 19:30至2017/09/25 10:0 ,2017/09/25 10:0以後,,2017/9/24~2017/9/26,844高雄市六龜區     
因大肚淨水場供水設備出問題致出水量減少。【4P106_00191】,【停水區域一】台中市大肚區鐵道以西之頂街里、永和里、磺溪里、永順里、成功里等里地區。,2017-09-24 22:00至2017-09-25 08:00,2017-09-25 08:00以後,04-26312127 (0910587305),2017/9/24~2017/9/26,432台中市大肚區     
台中市沙鹿區六路里南陽路、六路十六街至六路十八街等路段地區及附近巷弄可能破管，造成水壓低。【4P106_00192】,【停水區域一】台中市沙鹿區六路里南陽路、六路十六街至六路十八街等路段地區及附近巷弄。,2017-09-25 00:00至2017-09-25 09:00,2017-09-25 09:00以後,04-26312127 (0910587305),2017/9/24~2017/9/26,433台中市沙鹿區     
管線汰換工程【7I106_00125】,【停水區域一】高雄市三民區博惠里建國一路北側(由民族一路以東至凱旋一路以西)一帶,2017-09-25 08:00至2017-09-25 18:00(每日上午8點至下午6點),2017-09-25 18:00以後,3312292-237,2017/9/25~2017/9/26,807高雄市三民區     
管線汰換工程【7I106_00126】,【停水區域一】高雄市三民區博惠里建國一路北側(由民族一路以東至凱旋一路以西)一帶,2017-09-26 08:00至2017-09-30 18:00(每日上午8點至下午6點),2017-09-30 18:00以後,3312292-237,2017/9/25~2017/10/1,807高雄市三民區     
因『桃園市龜山區大崗里忠義路二段92巷219號  前』『修漏案件/1.路面漏水：里長反映路邊漏水，漏水量小，請協助處理』修理【25106_00105】,【停水區域一】桃園市龜山區忠義路二段92巷.光華路二段(含巷弄),2017-09-25 08:30至2017-09-25 12:00,2017-09-25 12:00以後,0939349453,2017/9/25~2017/9/26,333桃園市龜山區     
因『台南市東區東門路一段與前鋒路交口』路面漏水搶修【6S106_00387】,【停水區域一】台南市東區東門路一段，前鋒路，青年路，新樓街，東榮街、北門路一段,2017-09-25 08:00至2017-09-25 18:00,2017-09-25 18:00以後,06-2370021  06-3036097  1910,2017/9/25~2017/9/26,701台南市東區       
池上系統-慶豐管線汰換工程(無預警停水)【AB106_00025】,【停水區域一】台東縣池上鄉慶豐村,2017-09-25 08:30至2017-09-25 17:00(:每日上午8點至下午5點 (預警性停水)),2017-09-25 17:00以後,池上所:089-862625、工地負責人:0985-612503徐征源、監工:0921-931413劉奕妘,2017/9/25~2017/9/26,958台東縣池上鄉     
台南市東區中華東路一段 制水閥搶修【6S106_00388】,【停水區域一】台南市東區中華東路一段182號至218號,2017-09-25 08:30至2017-09-25 11:00,2017-09-25 11:00以後,06-2370021  06-3036097  1910,2017/9/25~2017/9/26,701台南市東區       
竹崎鄉義隆村大坪頂2-5號前漏水搶修【5X106_00534】,【停水區域一】嘉義縣竹崎鄉龍山村;義隆村;塘興村,2017-09-25 10:00至2017-09-25 19:00,2017-09-25 19:00以後,2611075,2017/9/25~2017/9/26,604嘉義縣竹崎鄉     
池上系統-慶豐村汰換管線之斷管連絡工程【AB106_00026】,【停水區域一】台東縣池上鄉慶豐村,2017-09-26 08:30至2017-09-30 17:30(:每日上午8點30分點至下午5點30分),2017-09-30 17:30以後,池上所:089-862625、工地負責人:0985-612503徐征源、監工:0921-931413劉奕妘,2017/9/25~2017/10/1,958台東縣池上鄉     
